X,Y,OBJECTID,TYPE,SUBTYPE,SCHEDULE,NAME,WORKFLOWID
174.634021,-36.942961,3001,,,1993,Kauri grove,
174.634238,-36.943013,3002,,,1994,Kauri grove,
174.641054,-36.927972,3003,,,1995,Macrocarpa,
174.673164,-36.929633,3004,,,1996,"Banksia, Pohutukawa, Cupressus species",
174.607425,-36.787408,3005,,,1997,Gum,
174.65838,-36.935935,3006,,,1998,Camphor Laurel,
174.65694,-36.93729,3007,,,1999,"Kauri, Rimu, Kahikatea grove",
174.654658,-36.931678,3008,,,2000,"Liquid Amber (2), Pohutukawa (1),
Red flowering gum (1), Rimu (1)
 Italian cypress (3)",
174.655306,-36.935576,3009,,,2001,Coast Redwood (3),
174.619462,-36.870936,3010,,,2002,Oak,
174.58021,-36.865943,3011,,,2003,Oak,
174.654638,-36.836166,3012,,,2004,Pohutukawa,
174.65308,-36.836292,3013,,,2005,Chinese Fir (2),
174.643901,-36.914191,3014,,,2007,Oak,
174.644938,-36.912736,3015,,,2006,"Silverbirch, Liquidambar",
174.626469,-36.908217,3016,,,2008,"Puriri, Row of Japanese cedar, Deodar cedar, Lebanese cedar, Camellia, English oak, Magnolia,",
174.633277,-36.890028,3017,,,2009,Macrocarpa,
174.667199,-36.909323,3018,,,2010,Norfolk Island Pine,
174.66591,-36.909103,3019,,,2011,Norfolk Island Pine,
174.660754,-36.905369,3020,,,2012,Silverdollar Gum,
174.644244,-36.890429,3021,,,2013,English Oak,
174.635972,-36.886723,3022,,,2014,Gum,
174.645233,-36.883317,3023,,,2136,"Pohutukawa and Totara, Norfolk Island Pine",
174.651173,-36.845221,3024,,,2015,"Illawara Flame Tree, Australian Frangipani",
174.649991,-36.836322,3025,,,2016,Podocarp tree,
174.649715,-36.836351,3026,,,2017,Illawara Flame Tree,
174.653286,-36.933779,3027,,,2018,Kahikatea,
174.653611,-36.931502,3028,,,2019,"Kauri (2), Rimu",
174.673342,-36.9368,3029,,,2020,Macrocarpa,
174.648768,-36.960794,3030,,,2021,Oak,
174.667806,-36.920347,3031,,,2022,Row of Camphor Laurel trees,
174.667612,-36.920427,3032,,,2023,Row of Camphor Laurel trees,
174.667427,-36.920505,3033,,,2024,Row of Camphor Laurel trees,
174.618578,-36.877074,3034,,,2025,"Pohutukawa, Rimu",
174.618203,-36.879546,3035,,,2026,Grouping of Redwoods,
174.61508,-36.882384,3036,,,2027,Oak (3),
174.614736,-36.882536,3037,,,2028,Oak,
174.613515,-36.883011,3038,,,2029,Pin Oak,
174.612678,-36.883256,3039,,,2030,Oak,
174.665186,-36.915471,3040,,,2031,Oak,
174.666114,-36.915113,3041,,,2032,"Oak, Pohutukawa",
174.66348,-36.931172,3042,,,2033,Kauri,
